Category ID number,Course full name,peserta,Course URL
P1-2025,Bandung 01,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1127
P1-2025,LKP Tallium (Kursus Komputer dan Elektronika,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1128
P1-2025,LKP NOVITA,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1129
P1-2025,English Young Generation,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1130
P1-2025,Bandung 05,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1131
P1-2025,Bandung 13,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1139
P1-2025,Bandung 07,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1133
P1-2025,Bandung 08,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1134
P1-2025,Bandung 09,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1135
P1-2025,LKP Padjadjaran Mitra Education Center,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1136
P1-2025,Bandung 11,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1137
P1-2025,Bandung 06,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1132
P10-2025,Malang 15,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1431
P10-2025,Malang 16,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1432
P10-2025,Malang 17,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1433
P10-2025,Malang 18,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1434
P10-2025,Malang 19,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1435
P10-2025,Malang 22,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1438
P10-2025,Malang 21,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1437
P10-2025,Malang 23,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1439
P10-2025,Malang 24,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1440
P10-2025,Tata Kecantikan Rambut,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1430
P10-2025,Malang 20,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1436
P10-2025,TATA RIAS PENGANTIN,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1429
P10-2025,Operator Forklift Gudang,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1441
P10-2025,Malang 11,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1427
P10-2025,Desain Grafis untuk Pemula,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1389
P10-2025,BELAJAR BAHASA KOREA DASAR,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1417
P10-2025,Kursus Pemijatan Dasar,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1418
P10-2025,PELATIHAN BARISTA,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1419
P10-2025,MEMBUAT BAJU GAMIS,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1420
P10-2025,TOEFL PREPARATION,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1428
P10-2025,mengukur tubuh,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1422
P10-2025,LKP GANESHA KEPANJEN,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1423
P10-2025,BARISTA PROFESIONAL,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1424
P10-2025,Kursus Digital Marketing,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1425
P10-2025,Operator Forklift,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1426
P10-2025,kursus public speaking,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1421
P11-2025,Palembang 14,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1455
P11-2025,Palembang 15,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1456
P11-2025,Palembang 16,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1457
P11-2025,Palembang 17,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1458
P11-2025,Palembang 18,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1459
P11-2025,Palembang 21,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1462
P11-2025,Palembang 20,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1461
P11-2025,Palembang 22,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1463
P11-2025,Palembang 23,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1464
P11-2025,Palembang 24,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1465
P11-2025,Palembang 13,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1454
P11-2025,Palembang 19,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1460
P11-2025,Palembang 25,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1466
P11-2025,Palembang 12,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1453
P11-2025,Palembang 10,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1451
