id,lkp_id,nama_kelas,link,peserta,lulusan,status,program_keterampilan
K-MOODLE-533,LKP-44327015b0,Program Basic,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=533,1,0,Sudah Berjalan,
K-MOODLE-451,LKP-0d878b3bba,Kursus Tata Kecantikan Rambut,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=451,2,0,Sudah Berjalan,
K-MOODLE-488,LKP-f2d7c6c3ee,kursus baru,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=488,2,0,Sudah Berjalan,
K-MOODLE-612,LKP-a081757a49,kursus baru,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=612,1,0,Sudah Berjalan,
K-MOODLE-603,LKP-984da56dbc,"Seri Office Basic: ""Kuasai Word dan Excel untuk Kerja""",https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=603,2,0,Sudah Berjalan,
K-MOODLE-807,LKP-7c1afa42f1,kursus baru,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=807,2,0,Sudah Berjalan,
K-MOODLE-438,LKP-d6a77ad8aa,kursus baru,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=438,2,0,Sudah Berjalan,
K-MOODLE-439,LKP-5ab233c817,kursus baru,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=439,2,0,Sudah Berjalan,
K-MOODLE-401,LKP-c32bbd0b5d,kursus baru,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=401,2,0,Sudah Berjalan,
K-MOODLE-420,LKP-72a033da2a,Komputer Aplikasi Perkantoran,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=420,1,0,Sudah Berjalan,
K-MOODLE-1103,LKP-a251b9fe26,Perawatan Sepeda Motor Injeksi,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1103,2,0,Sudah Berjalan,
K-MOODLE-1747,LKP-a251b9fe26,Teknik Merawat Sepeda Motor Matic,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1747,5,0,Sudah Berjalan,
K-MOODLE-2066,LKP-a251b9fe26,Perawatan Sistem Kelistrikan Sepeda Motor,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2066,2,0,Sudah Berjalan,
K-MOODLE-2067,LKP-a251b9fe26,Perawatan Sepeda Motor Injeksi,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2067,1,0,Sudah Berjalan,
K-MOODLE-2068,LKP-a251b9fe26,Teknik Memasarkan Produk di Marketplace,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2068,2,0,Sudah Berjalan,
K-MOODLE-2069,LKP-a251b9fe26,Perawatan Sepeda Motor Listrik,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2069,2,0,Sudah Berjalan,
K-MOODLE-2070,LKP-a251b9fe26,20 Point Service Ringan Sepeda Motor,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2070,2,0,Sudah Berjalan,
K-MOODLE-2071,LKP-a251b9fe26,Mengoperasikan Ms. Office Admin Perkantoran,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2071,2,0,Sudah Berjalan,
K-MOODLE-2072,LKP-a251b9fe26,Mengelola Data Ms. Excel,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2072,2,0,Sudah Berjalan,
K-MOODLE-2073,LKP-a251b9fe26,Mengoptimalkan Pemasaran Produk Barang dan Jasa,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2073,2,0,Sudah Berjalan,
K-MOODLE-2078,LKP-a251b9fe26,Digital Marketing untuk UMKM Berkelanjutan,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2078,2,0,Sudah Berjalan,
