id,lkp_id,nama_kelas,link,peserta,lulusan,status
K-2451-2,LKP-c6a7f2b3b9,kursus baru,,0,0,Materi Belum Lengkap
K-2517-0,LKP-b006cccb4b,LKP IRA,,0,0,Materi Belum Lengkap
K-2517-1,LKP-b006cccb4b,LKP IRA,,0,0,Materi Belum Lengkap
K-2517-2,LKP-b006cccb4b,LKP IRA,,0,0,Materi Belum Lengkap
K-2519-0,LKP-ec0f809cd2,kursus baru,,0,0,Materi Belum Lengkap
K-2519-1,LKP-ec0f809cd2,kursus baru,,0,0,Materi Belum Lengkap
K-2519-2,LKP-ec0f809cd2,kursus baru,,0,0,Materi Belum Lengkap
K-2530-0,LKP-9a12489003,kursus baru,,0,0,Materi Belum Lengkap
K-2530-1,LKP-9a12489003,kursus baru,,0,0,Materi Belum Lengkap
K-2530-2,LKP-9a12489003,kursus baru,,0,0,Materi Belum Lengkap
K-2534-0,LKP-a75ef281eb,Belajar Rias Wajah dan Tata Hijab Pengantin Muslim,,82,61,Sudah Berjalan
K-2534-1,LKP-a75ef281eb,Belajar Rias Wajah dan Tata Hijab Pengantin Muslim,,82,61,Sudah Berjalan
K-2534-2,LKP-a75ef281eb,Belajar Rias Wajah dan Tata Hijab Pengantin Muslim,,82,61,Sudah Berjalan
K-2542-0,LKP-b0fcfcd830,Kursus Musik,,0,0,Materi Belum Lengkap
K-2542-1,LKP-b0fcfcd830,Kursus Musik,,0,0,Materi Belum Lengkap
K-2542-2,LKP-b0fcfcd830,Kursus Musik,,0,0,Materi Belum Lengkap
K-2563-0,LKP-25c1a44546,Membuat Iklan Produk Bagi Pegiat UMKM,,6,2,Sudah Berjalan
K-2563-1,LKP-25c1a44546,Membuat Iklan Produk Bagi Pegiat UMKM,,6,2,Sudah Berjalan
K-2563-2,LKP-25c1a44546,Membuat Iklan Produk Bagi Pegiat UMKM,,6,2,Sudah Berjalan
K-2568-0,LKP-e5e1373ecd,kursus baru/ Aplikasi Perkantoran,,0,0,Materi Belum Lengkap
K-2568-1,LKP-e5e1373ecd,kursus baru/ Aplikasi Perkantoran,,0,0,Materi Belum Lengkap
K-2568-2,LKP-e5e1373ecd,kursus baru/ Aplikasi Perkantoran,,0,0,Materi Belum Lengkap
K-2625-0,LKP-984da56dbc,"Seri Office Basic: ""Kuasai Word dan Excel untuk Kerja""",,0,0,Materi Lengkap - Belum Ada Peserta
K-2625-1,LKP-984da56dbc,"Seri Office Basic: ""Kuasai Word dan Excel untuk Kerja""",,0,0,Materi Lengkap - Belum Ada Peserta
K-2625-2,LKP-984da56dbc,"Seri Office Basic: ""Kuasai Word dan Excel untuk Kerja""",,0,0,Materi Lengkap - Belum Ada Peserta
K-2633-0,LKP-a081757a49,kursusbaru,,0,0,Materi Belum Lengkap
K-2633-1,LKP-a081757a49,kursusbaru,,0,0,Materi Belum Lengkap
K-2633-2,LKP-a081757a49,kursusbaru,,0,0,Materi Belum Lengkap
K-2634-0,LKP-3d864d5f6e,kursusbaru,,0,0,Materi Belum Lengkap
K-2634-1,LKP-3d864d5f6e,kursusbaru,,0,0,Materi Belum Lengkap
K-2634-2,LKP-3d864d5f6e,kursusbaru,,0,0,Materi Belum Lengkap
K-2693-0,LKP-f2d7c6c3ee,kursus baru,,0,0,Materi Belum Lengkap
K-2693-1,LKP-f2d7c6c3ee,kursus baru,,0,0,Materi Belum Lengkap
K-2693-2,LKP-f2d7c6c3ee,kursus baru,,0,0,Materi Belum Lengkap
K-2706-0,LKP-a710cad6d1,kursusbaru,,0,0,Materi Belum Lengkap
K-2706-1,LKP-a710cad6d1,kursusbaru,,0,0,Materi Belum Lengkap
K-2706-2,LKP-a710cad6d1,kursusbaru,,0,0,Materi Belum Lengkap
K-2764-0,LKP-362d33ca5e,kursus baru,,0,0,Materi Belum Lengkap
K-2764-1,LKP-362d33ca5e,kursus baru,,0,0,Materi Belum Lengkap
K-2764-2,LKP-362d33ca5e,kursus baru,,0,0,Materi Belum Lengkap
K-2766-0,LKP-3fecc3457b,kursusbaru,,0,0,Materi Belum Lengkap
K-2766-1,LKP-3fecc3457b,kursusbaru,,0,0,Materi Belum Lengkap
K-2766-2,LKP-3fecc3457b,kursusbaru,,0,0,Materi Belum Lengkap
K-2781-0,LKP-d945884240,kursus baru,,0,0,Materi Belum Lengkap
K-2781-1,LKP-d945884240,kursus baru,,0,0,Materi Belum Lengkap
K-2781-2,LKP-d945884240,kursus baru,,0,0,Materi Belum Lengkap
K-2816-0,LKP-48cf655632,Kursus Microsoft Word Mahir,,0,0,Materi Belum Lengkap
K-2816-1,LKP-48cf655632,Kursus Microsoft Word Mahir,,0,0,Materi Belum Lengkap
K-2816-2,LKP-48cf655632,Kursus Microsoft Word Mahir,,0,0,Materi Belum Lengkap
K-2865-0,LKP-f83800b90f,Perawatan Sepeda Motor Injeksi,,0,0,Materi Belum Lengkap
K-2865-1,LKP-f83800b90f,Perawatan Sepeda Motor Injeksi,,0,0,Materi Belum Lengkap
K-2865-2,LKP-f83800b90f,Perawatan Sepeda Motor Injeksi,,0,0,Materi Belum Lengkap
K-2872-0,LKP-bcb4bad6b6,kursusbaru,,0,0,Materi Belum Lengkap
K-2872-1,LKP-bcb4bad6b6,kursusbaru,,0,0,Materi Belum Lengkap
K-2872-2,LKP-bcb4bad6b6,kursusbaru,,0,0,Materi Belum Lengkap
K-2881-0,LKP-cfc6e5d1f3,"kursus baru 07, kursus baru 06, excel untuk admin cerdas,bahasa inggris, teknik penyelesaian pada tepi busana, first step in english, microsoft excel (basic).",,6,0,Sudah Berjalan
K-2881-1,LKP-cfc6e5d1f3,"kursus baru 07, kursus baru 06, excel untuk admin cerdas,bahasa inggris, teknik penyelesaian pada tepi busana, first step in english, microsoft excel (basic).",,6,0,Sudah Berjalan
K-2881-2,LKP-cfc6e5d1f3,"kursus baru 07, kursus baru 06, excel untuk admin cerdas,bahasa inggris, teknik penyelesaian pada tepi busana, first step in english, microsoft excel (basic).",,6,0,Sudah Berjalan
K-2884-0,LKP-97f3ab83c6,lkp inka kursus baru,,0,0,Materi Belum Lengkap
K-2884-1,LKP-97f3ab83c6,lkp inka kursus baru,,0,0,Materi Belum Lengkap
K-2884-2,LKP-97f3ab83c6,lkp inka kursus baru,,0,0,Materi Belum Lengkap
K-2890-0,LKP-1be51f614f,Pengasuh dan Bayi,,0,0,Materi Lengkap - Belum Ada Peserta
K-2890-1,LKP-1be51f614f,Pengasuh dan Bayi,,0,0,Materi Lengkap - Belum Ada Peserta
K-2890-2,LKP-1be51f614f,Pengasuh dan Bayi,,0,0,Materi Lengkap - Belum Ada Peserta
K-2903-0,LKP-8e5a413ee8,kursus baru,,0,0,Materi Belum Lengkap
K-2903-1,LKP-8e5a413ee8,kursus baru,,0,0,Materi Belum Lengkap
K-2903-2,LKP-8e5a413ee8,kursus baru,,0,0,Materi Belum Lengkap
K-2905-0,LKP-41a7b54ac2,Mengemudi Kendaraan Bermotor Angkutan Orang,,0,0,Materi Belum Lengkap
K-2905-1,LKP-41a7b54ac2,Mengemudi Kendaraan Bermotor Angkutan Orang,,0,0,Materi Belum Lengkap
K-2905-2,LKP-41a7b54ac2,Mengemudi Kendaraan Bermotor Angkutan Orang,,0,0,Materi Belum Lengkap
K-2909-0,LKP-fad2961644,kursus baru,,0,0,Materi Belum Lengkap
K-2909-1,LKP-fad2961644,kursus baru,,0,0,Materi Belum Lengkap
K-2909-2,LKP-fad2961644,kursus baru,,0,0,Materi Belum Lengkap
K-2910-0,LKP-054956ac35,CARA CEPAT MAHIR BAHASA KOREA,,0,0,Materi Belum Lengkap
K-2910-1,LKP-054956ac35,CARA CEPAT MAHIR BAHASA KOREA,,0,0,Materi Belum Lengkap
K-2910-2,LKP-054956ac35,CARA CEPAT MAHIR BAHASA KOREA,,0,0,Materi Belum Lengkap
K-2913-0,LKP-b05678d8fc,LKP GO SMART,,0,0,Materi Belum Lengkap
K-2913-1,LKP-b05678d8fc,LKP GO SMART,,0,0,Materi Belum Lengkap
K-2913-2,LKP-b05678d8fc,LKP GO SMART,,0,0,Materi Belum Lengkap
K-2948-0,LKP-2033066af4,"Membuat Rok Osis SMA Putri, 
Membuat Blouse Krah Kemeja, Membuat Baju Osis SMA Putri, Kursus Membuat Rok Model A",,6,4,Sudah Berjalan
K-2948-1,LKP-2033066af4,"Membuat Rok Osis SMA Putri, 
Membuat Blouse Krah Kemeja, Membuat Baju Osis SMA Putri, Kursus Membuat Rok Model A",,6,4,Sudah Berjalan
K-2948-2,LKP-2033066af4,"Membuat Rok Osis SMA Putri, 
Membuat Blouse Krah Kemeja, Membuat Baju Osis SMA Putri, Kursus Membuat Rok Model A",,6,4,Sudah Berjalan
K-2966-0,LKP-a47ac50131,kursusbaru,,0,0,Materi Belum Lengkap
K-2966-1,LKP-a47ac50131,kursusbaru,,0,0,Materi Belum Lengkap
K-2966-2,LKP-a47ac50131,kursusbaru,,0,0,Materi Belum Lengkap
K-2974-0,LKP-6246f2b0a8,kursus baru,,0,0,Materi Belum Lengkap
K-2974-1,LKP-6246f2b0a8,kursus baru,,0,0,Materi Belum Lengkap
K-2974-2,LKP-6246f2b0a8,kursus baru,,0,0,Materi Belum Lengkap
K-3018-0,LKP-c3f1d64404,kursus baru,,0,0,Materi Belum Lengkap
